population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,26,70+ years,626,Musculoskeletal disorders,1,Number,2007,3860.402304450067,5749.975563888414,2626.625810527622
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,26,70+ years,626,Musculoskeletal disorders,1,Number,2007,8168.6006915397875,12210.103048130928,5658.487982838604
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,9,20-24 years,640,Other non-communicable diseases,1,Number,2007,369.14943625370455,535.8535871781754,249.04970610979748
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,9,20-24 years,640,Other non-communicable diseases,1,Number,2007,1636.778964399538,2431.2182271576125,1109.8400265243856
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,10,25-29 years,640,Other non-communicable diseases,1,Number,2007,703.454616149453,1088.760219779586,459.90395603179
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,10,25-29 years,640,Other non-communicable diseases,1,Number,2007,2645.612128758377,3766.664429053949,1747.271309382042
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,11,30-34 years,640,Other non-communicable diseases,1,Number,2007,487.9350096129007,786.8889933087916,316.70282852826745
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,11,30-34 years,640,Other non-communicable diseases,1,Number,2007,2581.3441819566474,3610.2080700479855,1710.954619856834
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,12,35-39 years,640,Other non-communicable diseases,1,Number,2007,681.5817798353966,1103.796145301182,423.8272447489526
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,12,35-39 years,640,Other non-communicable diseases,1,Number,2007,2042.020825105746,2848.146427301085,1393.8552250897155
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,13,40-44 years,640,Other non-communicable diseases,1,Number,2007,667.2839985250217,1124.3505744243612,390.1106980726475
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,13,40-44 years,640,Other non-communicable diseases,1,Number,2007,2384.788523146369,3364.23223443962,1590.6640481042657
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,14,45-49 years,640,Other non-communicable diseases,1,Number,2007,736.5602473846876,1175.480737979386,441.56478924348784
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,14,45-49 years,640,Other non-communicable diseases,1,Number,2007,1899.0697943735609,2745.279619906566,1229.9095609467
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,15,50-54 years,640,Other non-communicable diseases,1,Number,2007,718.6459931952991,1110.3356533940848,445.35284467995297
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,15,50-54 years,640,Other non-communicable diseases,1,Number,2007,1182.406320078867,1708.343975548039,799.2335422322985
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,16,55-59 years,640,Other non-communicable diseases,1,Number,2007,708.1483502316344,1070.0721781889704,447.5223244708119
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,16,55-59 years,640,Other non-communicable diseases,1,Number,2007,701.9822506061024,1021.2547253303272,453.75288837706216
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,17,60-64 years,640,Other non-communicable diseases,1,Number,2007,541.6034032758217,804.0160643263598,349.66536582085195
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,17,60-64 years,640,Other non-communicable diseases,1,Number,2007,507.4582698521989,734.2528560026133,334.7032033167677
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,18,65-69 years,640,Other non-communicable diseases,1,Number,2007,516.9268210210553,748.0743503725841,343.60169692401644
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,18,65-69 years,640,Other non-communicable diseases,1,Number,2007,505.30837062189806,741.0172920908016,334.99772493102915
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,19,70-74 years,640,Other non-communicable diseases,1,Number,2007,433.0192318110478,613.0509740670745,288.5901311227505
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,19,70-74 years,640,Other non-communicable diseases,1,Number,2007,449.320562667722,634.7502357043512,295.2392000136448
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,26,70+ years,640,Other non-communicable diseases,1,Number,2007,1050.0680994538166,1444.3833807369142,720.9694255384383
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,26,70+ years,640,Other non-communicable diseases,1,Number,2007,1393.3255872021196,1948.7369125862715,946.4184131473036
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,9,20-24 years,688,Transport injuries,1,Number,2007,131.41616753833105,175.38896419057494,93.28408747867906
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,9,20-24 years,688,Transport injuries,1,Number,2007,79.29265587832096,107.88963661866308,57.51951987132637
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,10,25-29 years,688,Transport injuries,1,Number,2007,332.22812644414324,443.6453604890569,236.45726083978175
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,10,25-29 years,688,Transport injuries,1,Number,2007,131.95739735524128,180.49232662315683,94.7428921312728
